"+forward"				"Avancer"
"+back"				"Reculer"
"+left"				"Tourner gauche"
"+right"				"Tourner droite"
"+moveleft"				"Pas à gauche (latéral)"
"+moveright"			"Pas à droite (latéral)"
"+strafe"				"Modificateur pas latéral"
"+speed"             		"Marcher"
"+jump"				"Sauter"
"+duck"				"Esquiver"
"+moveup"				"Nager vers haut"
"+movedown"				"Nager vers bas"
"+attack"				"Attaque principale"
"+wpn_secondaryatk"		"Changer mode attaque"
"+reload"				"Recharger arme"
"holster"				"Etui arme"
"lastinv"				"Dernière arme utilisée"
"dropitem"				"Poser objet actuel"
"vdiscipline_last"			"Utiliser discipline"
"vdiscipline_endall"		"Arrêt des disciplines actives"
"invprev"				"Discipline précédente"
"invnext"				"Discipline suivante"
"slot2"				"Armes de mêlée"
"slot3" 				"Armes à distance"
"slot5"				"Armure"
"slot6"				"Inventaire général"
"+use"				"Utiliser"
"+feed"				"Nourrir"
"showhotkeys"			"Menu raccourcis clavier"
"+chareditor"			"Editeur personnage"
"+questlog"				"Journal quête"
"togglecamera"			"Alterner vue 1ère/3ème personne"
"+mlook"				"Vue souris"
"snapshot"				"Capture d'écran"
"save quick"			"Sauvegarde rapide"
"load quick"			"Chargement rapide"
"dlghist"				"Voir historique dialogues"
"dlgscrldn"				"Défiler dialogues vers bas"
"dlgscrlup"				"Défiler dialogues vers haut"

